Year,Rank,Company,Revenues ($ millions),Profit ($ millions)
1957,410,Lees (James) & Sons,76.6,4.2
1957,411,Celotex,76.5,5.9
1957,412,Ruberoid,76.4,4.3
1957,413,Harsco,76.3,5.8
1957,414,Murray Corp.,76.2,8.4
1957,415,Motor Products,76.0,-1.2
1957,416,Dayco,75.8,2.6
1957,417,Lehigh Portland Cement,75.8,10.7
1957,418,American Optical,75.7,2.4
1957,419,Houdaille Industries,75.4,3.1
1957,420,Crowell-Collier Publishing,74.8,N.A.
1957,421,Beech Aircraft,74.5,3.3
1957,422,Trane,74.4,5.7
1957,423,Northwestern Steel & Wire,74.2,5.1
1957,424,Emerson Radio & Phonograph,73.9,84.9
1957,425,Clevite,73.6,4.0
1957,426,Continental Copper & Industries,73.3,4.0
1957,427,Ceco Industries,73.1,3.0
1957,428,Midland-Ross,72.8,2.8
1957,429,Remington Arms,72.7,8.1
1957,430,Robertshaw Controls,72.6,4.2
1957,431,Pennwalt Corp,72.4,3.6
1957,432,American Forest Products,72.1,2.4
1957,433,Tennessee Corp.,71.9,9.6
1957,434,Dole,71.8,2.7
1957,435,Lily-Tulip Cup,71.6,6.1
1957,436,Armstrong Rubber,71.3,2.8
1957,437,Kayser (Julius),70.9,0.9
1957,438,Magnavox,70.5,3.1
1957,439,Publicker Industries,70.4,0.3
1957,440,Virginia-Carolina Chemical,70.2,1.4
1957,441,Consolidated Papers,70.1,7.3
1957,442,Savannah Sugar Refining,69.5,2.1
1957,443,Cuban Atlantic Sugar,69.5,3.3
1957,444,Carey (Philip) Manufacturing,69.4,2.6
1957,445,Mueller Brass,69.4,2.5
1957,446,Alan Wood Steel,69.3,3.1
1957,447,Times Mirror,69.1,3.0
1957,448,Todd Shipyards,69.1,1.8
1957,449,American Agricultural Chemical,68.5,4.1
1957,450,P.R. Mallory,68.4,3.1
1957,451,Great Western Sugar,68.1,4.0
1957,452,Freeport Sulphur,68.1,13.4
1957,453,Berkshire Hathaway,68.0,0.9
1957,454,Gould-National Batteries,67.9,3.0
1957,455,Bibb Manufacturing,67.9,3.0
1957,456,Glen Alden,67.6,1.6
1957,457,Anderson-Prichard Oil,67.6,7.4
1957,458,Champlin Oil & Refining,67.5,9.5
1957,459,General Refractories,67.2,7.2
1957,460,Great Northern Paper,67.1,6.0
1957,461,Atlas Powder,67.1,4.2
1957,462,Calumet & Hecia,66.7,4.0
1957,463,Laclede Steel,66.5,4.1
1957,464,Cessna Aircraft,66.3,4.2
1957,465,Climax Molybdenum,66.3,15.2
1957,466,Minneapolis-Moline,66.2,0.5
1957,467,Premcor,65.8,2.6
1957,468,Columbian Carbon,65.5,4.8
1957,469,Sundstrand,65.4,3.4
1957,470,Natl. Malleable & Steel Castings,65.2,3.8
1957,471,Fedders,65.2,3.3
1957,472,American Metal Products,65.2,4.0
1957,473,Bird & Son,65.0,2.0
1957,474,Reliance Electric,64.8,2.9
1957,475,Canada Dry,64.7,3.1
1957,476,Sutherland Paper,64.7,4.1
1957,477,Arvin Industries,64.6,3.8
1957,478,Consolidated Cigar,64.4,2.8
1957,479,Vanadium,64.3,5.9
1957,480,Harshaw Chemical,64.3,2.4
1957,481,Warren (S.D.),64.2,4.7
1957,482,Gardner-Denver,64.1,7.4
1957,483,Lear,63.9,2.0
1957,484,Udylite,63.7,2.0
1957,485,Burrus Mills,63.6,-3.3
1957,486,Western Publishing Group,63.3,4.1
1957,487,Daystrom,63.2,1.8
1957,488,United Engineering & Foundry,62.7,3.0
1957,489,Reeves Brothers,62.3,1.4
1957,490,Langendorf United Bakeries,62.1,1.1
1957,491,Hupp,62.0,0.6
1957,492,Erwin Mills,61.8,1.7
1957,493,Oxford Paper,61.7,4.6
1957,494,Carpenter Technology,61.6,5.8
1957,495,Mansfield Tire & Rubber,61.6,1.4
1957,496,Motor Wheel,61.5,1.4
1957,497,Masonite,61.4,7.2
1957,498,Cooper-Bessemer,61.2,4.8
1957,499,South Penn Oil,61.2,6.0
1957,500,Consolidated Coppermines,61.1,5.7
1958,1,General Motors,"10,989.8",843.6
1958,2,Exxon Mobil,"7,830.2",805.2
1958,3,Ford Motor,"5,771.3",282.8
1958,4,U.S. Steel,"4,413.8",419.4
1958,5,General Electric,"4,335.7",247.9
1958,6,Chrysler,"3,565.0",120.0
1958,7,Mobil,"2,976.1",220.4
1958,8,Gulf Oil,"2,730.1",354.3
1958,9,Bethlehem Steel,"2,603.7",191.0
1958,10,Esmark,"2,542.2",13.5
1958,11,AT&T Technologies,"2,480.1",84.6
1958,12,Texaco,"2,344.2",332.3
1958,13,Amoco,"2,010.1",151.5
1958,14,CBS,"2,009.0",72.7
1958,15,DuPont,"1,964.3",396.6
1958,16,Armour,"1,935.7",3.4
1958,17,Shell Oil,"1,764.6",135.1
1958,18,ChevronTexaco,"1,650.8",288.2
1958,19,Boeing,"1,596.5",38.2
1958,20,General Dynamics,"1,562.5",44.3
1958,21,Kraft,"1,432.3",44.1
1958,22,Goodyear Tire & Rubber,"1,421.8",64.8
1958,23,Union Carbide,"1,395.0",133.7
1958,24,Sinclair Oil,"1,251.1",79.3
1958,25,Rockwell Automation,"1,243.8",33.9
1958,26,United Technologies,"1,232.9",51.4
1958,27,Republic Steel,"1,227.3",85.0
1958,28,Navistar International,"1,171.4",45.6
1958,29,RCA,"1,170.9",38.5
1958,30,Firestone Tire & Rubber,"1,158.9",61.7
1958,31,Procter & Gamble,"1,156.4",67.8
1958,32,ConocoPhillips,"1,131.8",96.2
1958,33,Douglas Aircraft,"1,091.4",30.7
1958,34,Citgo Petroleum,"1,046.4",59.2
1958,35,Continental Group,"1,046.3",41.0
1958,36,American Can,"1,006.3",45.4
1958,37,Intl. Business Machines,"1,000.4",89.3
1958,38,General Foods,971.3,42.4
1958,39,International Paper,940.4,78.4
1958,40,Borden Chemical,931.2,24.0
1958,41,Uniroyal,873.6,29.7
1958,42,Sperry,871.0,49.6
1958,43,Alcoa,869.4,75.6
1958,44,Lockheed Martin,868.3,16.3
1958,45,Jones & Laughlin Steel,837.6,45.5
1958,46,Eastman Kodak,798.3,98.1
1958,47,ARMCO,776.7,55.0
1958,48,Sunoco,771.6,47.5
1958,49,Ryerson Tull,764.0,58.9
1958,50,Goodrich,734.7,39.4
1958,51,Bendix,707.0,27.5
1958,52,Honeywell Intl.,683.1,51.2
1958,53,Youngstown Sheet & Tube,679.9,42.5
1958,54,Burlington Industries Equity,671.2,16.0
1958,55,Caterpillar,649.9,38.8
1958,56,Wilson,641.0,5.7
1958,57,National Intergroup,641.0,45.5
1958,58,ITT Industries,638.7,22.4
1958,59,Dow Chemical,627.8,53.1
1958,60,Fortune Brands,621.3,57.1
1958,61,PPG Industries,620.8,58.0
1958,62,Conoco,608.9,46.7
1958,63,BorgWarner,608.5,34.1
1958,64,Curtiss-Wright,598.6,40.1
1958,65,Tidewater Oil,596.3,34.9
1958,66,Olin,592.9,36.4
1958,67,Nabisco Group Holdings,582.6,64.2
1958,68,AMAX,577.2,27.9
1958,69,Anaconda,570.8,44.0
1958,70,Monsanto,567.1,37.4
1958,71,Atlantic Richfield,565.9,35.7
1958,72,NL Industries,535.3,56.2
1958,73,Allis-Chalmers,534.1,17.8
1958,74,American Cyanamid,532.5,51.3
1958,75,General Mills,527.7,12.2
1958,76,Standard Brands,513.9,13.8
1958,77,Ogden,512.2,4.3
1958,78,Owens-Illinois,510.5,35.8
1958,79,Pure Oil,508.8,35.5
1958,80,Colgate-Palmolive,506.9,19.9
1958,81,Asarco,498.6,25.0
1958,82,Kennecott,468.0,79.3
1958,83,Crown Zellerbach,460.6,38.1
1958,84,Sealed Air,459.7,15.5
1958,85,Reynolds Metals,446.6,37.8
1958,86,Campbell Soup,440.9,29.9
1958,87,Ralston Purina,438.3,14.6
1958,88,Unocal,432.7,38.2
1958,89,Pullman,424.5,14.8
1958,90,Nabisco Brands,424.5,22.1
1958,91,Martin Marietta,423.9,11.4
1958,92,GenCorp,421.2,11.3
1958,93,Weyerhaeuser,420.6,53.4
1958,94,BP America,419.0,23.9
1958,95,J.P. Stevens,417.7,9.5
1958,96,Foremost Dairies,415.1,10.5
1958,97,Whirlpool,402.3,10.6
1958,98,Morrell (John),394.4,0.5
1958,99,United Merchants & Mfrs.,392.5,9.9
1958,100,Kaisertech,391.6,26.8
1958,101,Deere,388.1,28.7
1958,102,NCR,382.5,18.2
1958,103,Hygrade Food Products,380.9,1.4
1958,104,Crane,378.9,8.7
1958,105,Kaiser Industries,376.0,16.8
1958,106,3M,370.1,39.7
1958,107,American Standard,368.8,12.7
1958,108,Carnation,368.6,9.5
1958,109,TRW,368.6,11.9
1958,110,Babcock & Wilcox,366.1,16.5
1958,111,Consolidation Coal,365.6,26.7
1958,112,American Motors,362.2,-11.8
1958,113,St. Regis,361.0,21.1
1958,114,Singer,358.6,18.1
1958,115,Sunray DX Oil,358.2,57.2
1958,116,Philco,358.0,4.4
1958,117,Merritt-Chapman & Scott,354.3,13.8
1958,118,Wyeth,347.2,38.6
1958,119,Lever Brothers,345.6,5.9
1958,120,Sylvania Electric Products,343.0,12.7
1958,121,Beatrice,342.1,7.3
1958,122,CF&I Steel,340.8,14.2
1958,123,Cudahy,340.1,2.1
1958,124,McDonnell Douglas,335.3,9.7
1958,125,Hormel Foods,335.1,3.3
1958,126,Bestfoods,331.9,22.7
1958,127,Pillsbury,331.4,4.0
1958,128,Koppers,326.3,9.4
1958,129,Honeywell,324.9,21.4
1958,130,Ashland,320.2,16.2
1958,131,Liggett Group,318.8,28.3
1958,132,Otis Elevator,317.8,8.9
1958,133,Avco,314.9,12.8
1958,134,FMC,313.9,15.9
1958,135,Amstar,312.3,9.9
1958,136,Kimberly-Clark,310.7,24.8
1958,137,Manville,308.3,17.8
1958,138,Continental Baking,307.9,7.8
1958,139,"Libby, McNeill & Libby",302.7,3.7
1958,140,Quaker Oats,302.6,12.1
1958,141,National Supply,300.2,15.3
1958,142,Coca-Cola,296.8,29.9
1958,143,ACF Industries,294.6,9.0
1958,144,Rath Packing,289.2,1.3
1958,145,Marathon Oil,288.7,41.5
1958,146,Del Monte Foods,287.6,12.6
1958,147,Phelps Dodge,287.1,44.1
1958,148,Combustion Engineering,286.1,7.8
1958,149,M. Lowenstein,285.3,3.0
1958,150,Northrop Grumman,281.2,5.5
1958,151,Unisys,280.7,10.1
1958,152,H.J. Heinz,278.9,10.6
1958,153,Scott Paper,275.0,21.6
1958,154,Dresser Industries,274.4,20.6
1958,155,Republic Aviation,269.0,6.1
1958,156,Electric Autolite,267.3,9.5
1958,157,Allegheny International,266.6,11.7
1958,158,Brink's,266.3,8.8
1958,159,Furniture Brands Intl.,266.1,9.6
1958,160,A.O. Smith,266.1,9.7
1958,161,Mack Trucks,263.7,13.2
1958,162,Rockwell-Standard,263.5,15.8
1958,163,Carrier,263.4,7.3
1958,164,Skelly Oil,263.2,36.8
1958,165,J.E. Seagram,261.8,13.5
1958,166,AMF,261.2,11.8
1958,167,Raytheon,259.9,6.9
1958,168,Sherwin-Williams,257.8,15.1
1958,169,Johnson & Johnson,257.6,13.2
1958,170,Altria Group,257.2,15.8
1958,171,McGraw-Edison,256.6,14.7
1958,172,Arden Farms,256.2,2.6
1958,173,Container Corp. of America,256.1,14.6
1958,174,Richfield Oil,254.9,28.2
1958,175,Textron,254.6,8.7
1958,176,Pet,254.1,17.7
1958,177,USG,249.6,38.8
1958,178,Armstrong Holdings,246.4,11.1
1958,179,Oscar Mayer,246.3,4.1
1958,180,Wheeling Pittsburgh,245.8,12.1
1958,181,Hercules,245.3,18.1
1958,182,Quantum Chemical,239.5,23.0
1958,183,Chance Vought,237.3,6.2
1958,184,Aeroquip-Vickers,237.2,28.0
1958,185,Westinghouse Air Brake,237.0,12.1
1958,186,Brown Shoe,236.9,9.1
1958,187,Crucible Steel,235.9,6.5
1958,188,American-Marietta,234.0,17.2
1958,189,Fruehauf,232.0,1.7
1958,190,American Viscose,227.6,8.4
1958,191,Anheuser-Busch,227.2,9.8
1958,192,Motorola,226.4,7.8
1958,193,White Motor,225.9,6.8
1958,194,Glidden,225.5,7.3
1958,195,Genesco,223.3,5.8
1958,196,Eaton,221.8,11.1
1958,197,GATX,220.7,15.7
1958,198,Archer Daniels Midland,218.8,5.2
1958,199,IPL,218.2,3.3
1958,200,Kellogg,213.2,17.1
1958,201,Studebaker,213.2,-11.1
1958,202,Kaiser Steel,208.2,21.4
1958,203,Pfizer,207.2,22.9
1958,204,Ingersoll-Rand,205.4,36.4
1958,205,Timken,205.2,20.7
1958,206,Grumman,205.2,5.2
1958,207,Curtis Publishing,202.7,6.2
1958,208,Bell Intercontinental,202.3,4.3
1958,209,Champion International,201.9,8.2
1958,210,Kelsey-Hayes,201.9,8.4
1958,211,Dana,201.4,13.9
1958,212,Eli Lilly,199.8,32.3
1958,213,Revere Copper & Brass,199.6,8.5
1958,214,Schenley Industries,198.9,11.0
1958,215,Sterling Drug,198.7,18.8
1958,216,Grinnell,198.4,9.6
1958,217,Central Soya,196.5,4.7
1958,218,Hearst Consolidated Publications,195.7,N.A.
1958,219,Gillette,194.9,25.9
1958,220,Cannon Mills,194.2,12.9
1958,221,Mead,192.8,11.9
1958,222,Celanese,192.3,16.1
1958,223,Studebaker-Worthington,191.5,9.9
1958,224,Westvaco,191.3,12.0
1958,225,BOC,190.0,16.5
1958,226,Eastern Gas & Fuel Associates,189.3,13.4
1958,227,Rheem Manufacturing,188.6,2.0
1958,228,Merck,186.9,23.1
1958,229,Abex,186.5,9.1
1958,230,General Precision Equipment,185.1,4.3
1958,231,Walter Industries,184.6,2.6
1958,232,Baldwin-Lima-Hamilton,184.4,6.4
1958,233,Blaw-Knox,182.7,7.9
1958,234,Pittsburgh Steel,182.0,4.2
1958,235,Budd,180.8,14.8
1958,236,McLouth Steel,179.5,9.4
1958,237,Newport News Shipbuilding,177.6,6.4
1958,238,National Sugar Refining,177.1,2.2
1958,239,Norton,176.8,N.A.
1958,240,Garrett,176.1,4.9
1958,241,Rohm & Haas,174.1,15.6
1958,242,Foster Wheeler,173.0,-0.8
1958,243,GK Technologies,172.7,11.1
1958,244,Sunshine Biscuits,172.5,7.6
1958,245,Wesson Oil & Snowdrift,172.4,2.7
1958,246,Diamond International,170.6,8.1
1958,247,Cone Mills,169.8,4.4
1958,248,Ex-Cell-O,168.9,14.1
1958,249,Champion Papers,168.4,14.3
1958,250,Dart Industries,167.6,4.6
1958,251,Dan River,164.4,5.7
1958,252,Link-Belt,163.5,10.1
1958,253,Owens Corning,163.3,9.0
1958,254,"Parke, Davis",162.3,27.9
1958,255,Lorillard,162.0,10.8
1958,256,Admiral,161.1,1.0
1958,257,Union Camp,160.7,18.1
1958,258,Alco Products,160.6,2.9
1958,259,General Host,159.2,2.7
1958,260,Stokely-Van Camp,159.2,3.2
1958,261,Corning,159.1,16.5
1958,262,Fairchild Engine & Airplane,158.6,0.5
1958,263,Hershey Foods,157.8,14.9
1958,264,Stauffer Chemical,156.9,13.1
1958,265,Campbell Taggart,155.2,8.8
1958,266,H.K. Porter,153.5,6.4
1958,267,Springs Industries,153.0,12.7
1958,268,Staley Continental,152.3,5.2
1958,269,Warner-Lambert,151.0,14.3
1958,270,Bridgeport Brass,150.9,5.6
1958,271,Outboard Marine,150.5,13.1
1958,272,American Bakeries,150.4,5.8
1958,273,Sharon Steel,150.4,4.0
1958,274,Zenith Electronics,148.5,8.2
1958,275,Cincinnati Milacron,148.3,7.9
1958,276,Interlake,147.7,6.0
1958,277,Georgia-Pacific,147.6,8.5
1958,278,Chemetron,147.5,9.8
1958,279,Endicott Johnson,146.0,2.7
1958,280,Tecumseh Products,144.4,5.8
1958,281,Clark Equipment,143.1,8.2
1958,282,ESB,142.0,5.7
1958,283,National Gypsum,141.5,12.8
1958,284,Keebler,140.2,4.0
1958,285,GAF,138.4,5.4
1958,286,Continental Motors,135.6,3.6
1958,287,Spencer Kellogg & Sons,134.8,1.3
1958,288,American Bosch Arma,134.2,5.1
1958,289,Joy Technologies,131.1,11.3
1958,290,Lukens Steel,130.5,10.1
1958,291,Scovill,129.1,2.4
1958,292,Yale & Towne Manufacturing,128.6,4.7
1958,293,WestPoint Stevens,128.5,4.5
1958,294,Simmons,128.2,5.6
1958,295,Southern States Cooperative,127.1,5.5
1958,296,Fibreboard,125.7,4.1
1958,297,Anaconda Wire & Cable,125.6,5.0
1958,298,Anchor Hocking,125.1,7.0
1958,299,I-T-E Imperial,124.5,6.3
1958,300,Case,123.9,1.3
1958,301,Collins Radio,123.8,2.7
1958,302,Granite City Steel,123.8,10.0
1958,303,Maxus Energy,122.6,7.0
1958,304,Amsted Industries,122.6,8.0
1958,305,Brunswick,122.6,6.9
1958,306,Rockwell Manufacturing,122.3,9.6
1958,307,Sunbeam/Oster,121.8,11.6
1958,308,Bemis,121.5,1.8
1958,309,Island Creek Coal,121.3,9.4
1958,310,Copperweld Steel,121.1,2.8
1958,311,"Fairbanks, Morse",120.3,2.6
1958,312,R.R. Donnelley & Sons,120.0,8.1
1958,313,LTV,119.2,2.5
1958,314,PepsiCo,119.1,9.6
1958,315,Norton Simon,118.0,4.5
1958,316,Eagle-Picher Industries,117.8,4.3
1958,317,ITT Rayonier,117.6,6.2
1958,318,Plymouth Oil,117.2,6.0
1958,319,Amerada Hess,116.4,29.9
1958,320,Flintkote,116.2,7.0
1958,321,American Chain & Cable,116.1,6.8
1958,322,Cerro,116.0,4.4
1958,323,Crown Holdings,115.9,2.4
1958,324,Rohr,115.8,3.7
1958,325,US Pharmaceuticals,115.5,20.6
1958,326,Best Foods,114.0,6.2
1958,327,Farmland Industries,113.3,6.4
1958,328,Interstate Brands,113.2,4.0
1958,329,Automatic Canteen,112.9,3.0
1958,330,Cleveland-Cliffs,112.8,13.1
1958,331,Keystone Consolidated Industries,112.5,8.5
1958,332,Stewart-Warner,112.0,6.0
1958,333,Beaunit,111.8,6.1
1958,334,Abbott Laboratories,111.3,12.7
1958,335,Carborundum,111.2,6.2
1958,336,Cummins,111.2,5.1
1958,337,Squibb,110.4,8.6
1958,338,U.S. Industries,110.1,3.4
1958,339,Inmont,109.8,3.9
1958,340,U.S. Pipe & Foundry,109.7,9.6
1958,341,Federal-Mogul,109.1,9.2
1958,342,Kerr-McGee,108.8,6.2
1958,343,Superior Oil,108.3,18.9
1958,344,Gerber Products,108.1,7.8
1958,345,Hooker Chemical,107.9,9.1
1958,346,Royal McBee,107.6,4.5
1958,347,Interlake Iron,107.4,6.9
1958,348,Midland-Ross,107.3,5.5
1958,349,St. Joseph Lead,106.9,8.0
1958,350,Bristol-Myers Squibb,106.8,6.4
1958,351,Kendall,106.8,4.0
1958,352,AM International,106.3,7.7
1958,353,Imcera Group,106.2,7.7
1958,354,Peabody Coal,104.6,9.6
1958,355,Material Service,104.3,13.1
1958,356,Cluett Peabody,104.2,4.4
1958,357,Ward Foods,104.2,1.4
1958,358,Square D,104.1,9.1
1958,359,Harbison-Walker Refractories,104.0,13.4
1958,360,Beech Aircraft,103.9,3.4
1958,361,Colorado Milling & Elevator,103.6,1.5
1958,362,Thomas J. Lipton,103.5,5.5
1958,363,Fairmont Foods,102.8,1.2
1958,364,Minute Maid,102.8,-2.5
1958,365,Cletrac,101.7,0.6
1958,366,United Engineering & Foundry,100.5,5.1
1958,367,Avon Products,100.4,9.3
1958,368,City Products,98.7,4.7
1958,369,Maytag,98.6,6.6
1958,370,Mohasco,98.3,3.3
1958,371,McGraw-Hill,98.2,8.1
1958,372,Falstaff Brewing,97.1,4.1
1958,373,Botany Industries,96.9,8.2
1958,374,USM,96.2,12.6
1958,375,Reliance Electric,95.5,6.1
1958,376,Lone Star Steel,95.3,11.3
1958,377,Lone Star Industries,95.2,15.7
1958,378,Revlon,95.2,9.0
1958,379,Wagner Electric,95.1,6.0
1958,380,Stanley Works,95.1,3.4
1958,381,Richardson-Vicks,94.8,7.9
1958,382,Walworth,94.8,4.9
1958,383,Pacific Vegetable Oil,94.8,0.5
1958,384,Todd Shipyards,93.5,4.7
1958,385,Allied Mills,92.5,2.4
1958,386,Wm. Wrigley Jr.,92.3,10.9
1958,387,Harsco,90.7,7.0
1958,388,Vulcan Materials,90.6,5.8
1958,389,Kroehler Manufacturing,90.6,3.4
1958,390,Chicago Pneumatic Tool,90.4,13.5
1958,391,Pepperell Manufacturing,90.0,2.5
1958,392,Riegel Textile,89.5,2.5
1958,393,Pabst Brewing,89.0,-2.9
1958,394,National Can,88.4,1.4
1958,395,Joy Global,87.5,3.8
1958,396,Bucyrus-Erie,87.5,5.2
1958,397,Magnavox,87.5,3.8
1958,398,New York Times,86.6,3.0
1958,399,Suntide Refining,85.9,1.0
1958,400,Wyandotte Chemicals,85.0,6.8
1958,401,Liebmann Breweries,85.0,N.A.
1958,402,Joslyn Manufacturing & Supply,84.9,4.0
1958,403,U.S. Hoffman Machinery,84.6,-1.6
1958,404,Cuban Atlantic Sugar,84.4,6.2
1958,405,Potlatch,84.2,6.5
1958,406,Barium Steel,83.9,3.1
1958,407,Dayco,83.6,1.6
1958,408,Certainteed,83.5,2.2
1958,409,Eastern States Farmers' Exch.,83.4,3.3
1958,410,Solar Aircraft,83.1,0.4
1958,411,Olivetti Underwood,82.7,-0.6
1958,412,Detroit Steel,82.5,3.0
1958,413,Raybestos-Manhattan,82.2,3.5
1958,414,Minnesota & Ontario Paper,82.0,6.1
1958,415,Dole,81.5,1.4
1958,416,Ruberoid,81.1,4.8
1958,417,Hartmarx,80.8,1.9
1958,418,Schering-Plough,80.7,15.4
1958,419,Trane,80.6,6.2
1958,420,Philadelphia & Reading,80.4,6.6
1958,421,Paccar,80.3,1.7
1958,422,Pennwalt Corp,79.8,3.1
1958,423,Houdaille Industries,78.7,3.8
1958,424,Ceco Industries,78.6,3.0
1958,425,Lily-Tulip Cup,78.3,6.6
1958,426,Ideal Basic Industries,78.3,14.5
1958,427,American Optical,78.2,2.5
1958,428,Coltec Industries,78.1,-9.4
1958,429,Northwestern Steel & Wire,78.1,5.2
1958,430,P.R. Mallory,77.6,3.1
1958,431,Sundstrand,77.5,3.6
1958,432,Danly Machine Specialties,77.5,1.5
1958,433,Vertol Aircraft,77.2,1.7
1958,434,Fuller (W.P.),76.6,1.2
1958,435,Great Western Sugar,76.4,5.0
1958,436,Bulova Watch,76.2,3.4
1958,437,Armstrong Rubber,76.1,3.0
1958,438,Ryan Aeronautical,76.1,1.8
1958,439,Ekco Products,75.3,3.8
1958,440,Handy & Harman,75.3,1.0
1958,441,Cutler-Hammer,74.9,6.0
1958,442,Remington Arms,74.6,8.0
1958,443,American Agricultural Chemical,74.4,4.7
1958,444,Daystrom,74.4,2.5
1958,445,Bigelow-Sanford,74.1,0.4
1958,446,Bliss (E.W.),73.6,2.5
1958,447,Western Publishing Group,73.4,4.4
1958,448,Canada Dry,73.3,3.6
1958,449,Lees (James) & Sons,73.2,3.6
1958,450,Gardner-Denver,72.8,8.1
1958,451,Premcor,72.8,1.4
1958,452,American Metal Products,72.5,4.7
1958,453,Bibb Manufacturing,72.2,3.0
1958,454,Cosden Petroleum,71.9,6.0
1958,455,Clevite,71.4,4.0
1958,456,Robertshaw Controls,71.3,3.9
1958,457,Consolidated Papers,71.0,6.3
1958,458,Columbian Carbon,70.9,4.3
1958,459,Anderson-Prichard Oil,70.8,5.2
1958,460,Fedders,70.7,3.6
1958,461,Virginia-Carolina Chemical,70.5,0.9
1958,462,Signal Companies,70.5,13.1
1958,463,Gould-National Batteries,70.4,3.1
1958,464,Times Mirror,70.3,2.1
1958,465,Cessna Aircraft,70.0,3.9
1958,466,Atlas Powder,70.0,4.1
1958,467,Lehigh Portland Cement,69.9,7.1
1958,468,Carey (Philip) Manufacturing,69.9,2.6
1958,469,Arvin Industries,69.7,3.7
1958,470,Cooper-Bessemer,69.6,5.3
1958,471,Hines (Edward) Lumber,69.5,2.4
1958,472,Champlin Oil & Refining,69.4,9.7
1958,473,Flour Mills of America,69.3,-0.7
1958,474,Langendorf United Bakeries,69.1,1.6
1958,475,Tennessee Corp.,68.8,7.7
1958,476,Celotex,68.6,3.9
1958,477,Continental Copper & Industries,68.6,3.1
1958,478,Tobin Packing,68.5,1.5
1958,479,Carpenter Technology,68.4,6.8
1958,480,McCall,68.4,1.0
1958,481,American Forest Products,68.2,1.3
1958,482,Delhi-Taylor Oil,67.9,3.9
1958,483,Alan Wood Steel,67.9,2.1
1958,484,Consolidated Cigar,67.8,3.0
1958,485,General Refractories,67.6,7.8
1958,486,Butler Manufacturing,67.4,2.7
1958,487,Texas Instruments,67.3,3.8
1958,488,Mesta Machine,67.0,6.5
1958,489,Texasgulf,66.9,17.6
1958,490,Briggs & Stratton,66.9,6.7
1958,491,Berkshire Hathaway,66.1,-3.3
1958,492,Harshaw Chemical,66.0,2.4
1958,493,Commercial Solvents,65.9,1.4
1958,494,Emerson Electric,65.3,2.4
1958,495,Reichhold Chemicals,65.3,3.1
1958,496,Globe-Union,65.0,1.3
1958,497,Kayser (Julius),65.0,0.6
1958,498,Savannah Sugar Refining,64.9,1.9
1958,499,Natl. Malleable & Steel Castings,64.9,3.1
1958,500,Akzona,64.7,1.3
1959,1,General Motors,"9,522.0",633.6
1959,2,Exxon Mobil,"7,543.6",562.5
1959,3,Ford Motor,"4,130.3",95.7
1959,4,General Electric,"4,120.8",242.9
1959,5,U.S. Steel,"3,472.2",301.6
1959,6,Mobil,"2,885.7",156.8
1959,7,Gulf Oil,"2,769.4",329.5
1959,8,Esmark,"2,645.4",10.0
1959,9,Texaco,"2,327.9",310.2
1959,10,AT&T Technologies,"2,173.4",85.9
1959,11,Chrysler,"2,165.4",-33.8
1959,12,Bethlehem Steel,"2,005.9",137.7
1959,13,CBS,"1,895.7",74.8
1959,14,Amoco,"1,864.0",117.8
1959,15,Armour,"1,850.4",5.6
1959,16,DuPont,"1,829.2",341.2
1959,17,Boeing,"1,711.9",29.4
1959,18,Shell Oil,"1,666.0",116.6
1959,19,ChevronTexaco,"1,559.2",257.8
1959,20,General Dynamics,"1,511.5",36.7
1959,21,Kraft,"1,451.2",45.5
1959,22,Goodyear Tire & Rubber,"1,367.6",65.7
1959,23,Union Carbide,"1,296.5",124.9
1959,24,Procter & Gamble,"1,295.2",73.2
1959,25,Douglas Aircraft,"1,209.9",16.8
1959,26,United Technologies,"1,200.4",42.3
1959,27,Sinclair Oil,"1,190.4",49.5
1959,28,Intl. Business Machines,"1,171.8",126.2
1959,29,RCA,"1,170.7",30.9
1959,30,Navistar International,"1,098.4",43.0
1959,31,Continental Group,"1,080.4",41.4
1959,32,ConocoPhillips,"1,066.6",84.2
1959,33,Firestone Tire & Rubber,"1,061.6",53.8
1959,34,American Can,"1,037.0",46.4
1959,35,Citgo Petroleum,"1,015.3",44.9
1959,36,General Foods,"1,008.9",48.4
1959,37,Lockheed Martin,962.7,18.6
1959,38,International Paper,915.1,72.0
1959,39,Borden Chemical,915.0,24.6
1959,40,Republic Steel,910.4,61.9
1959,41,Rockwell Automation,904.0,26.8
1959,42,Uniroyal,870.6,22.7
1959,43,ARMCO,867.4,57.5
1959,44,Sperry,864.3,27.5
1959,45,Eastman Kodak,828.8,98.9
1959,46,Alcoa,753.1,42.9
1959,47,Sunoco,721.8,32.1
1959,48,Goodrich,697.3,35.5
1959,49,ITT Industries,687.5,26.6
1959,50,Wilson,683.7,7.8
1959,51,Ryerson Tull,656.0,47.9
1959,52,Jones & Laughlin Steel,654.1,23.2
1959,53,Burlington Industries Equity,651.5,11.7
1959,54,Nabisco Group Holdings,640.5,78.3
1959,55,Fortune Brands,637.2,58.8
1959,56,Dow Chemical,636.2,46.1
1959,57,Honeywell Intl.,635.5,34.2
1959,58,Bendix,619.1,21.2
1959,59,Olin,601.4,9.4
1959,60,Conoco,596.5,47.5
